canonical_inn,rxnorm_cui,allergy_group,relationship_type,clinical_note,source,source_url,confidence
sertraline,155137,SSRIs,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
simvastatin,36567,Statins,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://dailymed.nlm.nih.gov/,starter_reviewed
tramadol,10689,Opioids,member,Alert when patient has documented allergy to this group and this molecule is prescribed.,MedFlow clinical seed,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,starter_reviewed
warfarin,11289,Anticoagulants,member,Priority anticoagulant; use for documented warfarin hypersensitivity and distinguish from bleeding risk.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
heparin,235473,Anticoagulants,member,Priority anticoagulant; use for documented heparin hypersensitivity or immune adverse reaction review.,DailyMed/OpenFDA label evidence + RxNorm identity,https://dailymed.nlm.nih.gov/,high
heparin,235473,Heparins,member,Heparin-specific group; clinically important for heparin hypersensitivity or heparin-induced thrombocytopenia history.,DailyMed/OpenFDA label evidence + RxNorm identity,https://dailymed.nlm.nih.gov/,high
aspirin,1191,Antiplatelets,member,Priority antiplatelet; distinguish true hypersensitivity from bleeding risk.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
clopidogrel,236991,Antiplatelets,member,Priority antiplatelet; use for documented clopidogrel hypersensitivity and distinguish from bleeding risk.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
metformin,235743,Biguanides,member,Priority biguanide; distinguish hypersensitivity from common gastrointestinal intolerance and renal/lactic-acidosis contraindication.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
enalapril,203123,ACE inhibitors,member,Priority ACE inhibitor; ACE-inhibitor angioedema is clinically important and should trigger same-class review.,DailyMed/OpenFDA label evidence + RxNorm identity,https://dailymed.nlm.nih.gov/,high
ramipril,35296,ACE inhibitors,member,Priority ACE inhibitor; ACE-inhibitor angioedema is clinically important and should trigger same-class review.,DailyMed/OpenFDA label evidence + RxNorm identity,https://dailymed.nlm.nih.gov/,high
amlodipine,104416,Calcium channel blockers,member,Priority calcium channel blocker; alert for documented hypersensitivity-type reaction.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
furosemide,4603,Loop diuretics,member,Priority loop diuretic; separate from sulfonamide antibiotic allergy unless a true furosemide reaction is documented.,AAAAI sulfonamide cross-reactivity guidance + RxNorm identity,https://www.aaaai.org/allergist-resources/ask-the-expert/answers/2023/sulfonamide,moderate
spironolactone,9997,Potassium-sparing diuretics,member,Priority potassium-sparing diuretic; alert for documented hypersensitivity-type reaction.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
digoxin,3407,Cardiac glycosides,member,Priority cardiac glycoside; distinguish hypersensitivity from digoxin toxicity.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
prednisolone,34372,Corticosteroids,member,Priority corticosteroid; alert for documented corticosteroid hypersensitivity or excipient allergy.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
metronidazole,103866,Nitroimidazoles,member,Priority nitroimidazole antibiotic; alert for documented metronidazole/nitroimidazole allergy.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
fluconazole,4450,Azole antifungals,member,Priority azole antifungal; alert for documented azole antifungal hypersensitivity.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
carbamazepine,2002,Anticonvulsants,member,Priority antiseizure medicine; severe cutaneous adverse reaction history requires high-risk review.,RxNorm identity + NICE Drug allergy CG183,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
valproate,40254,Anticonvulsants,member,Priority antiseizure medicine; alert for documented anticonvulsant hypersensitivity.,RxNorm identity + NICE Drug allergy CG183,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,moderate
omeprazole,283742,PPIs,member,Priority PPI; alert for documented PPI hypersensitivity-type reaction.,RxNorm identity + NICE drug-allergy documentation rules,https://www.nice.org.uk/guidance/cg183/chapter/Recommendations,low
